ent,year,salario_promedio,lnw_promedio,educacion_promedio,formalidad,N
1,2007,113.51626133140296,4.475704753740708,9.280050346129642,1.0,3178
1,2008,126.6707810896367,4.565527255463529,9.274641148325358,1.0,3135
1,2009,119.19837529940737,4.531995387979852,9.534749729924378,1.0,2777
1,2010,124.17615894057084,4.554885592305032,9.68421052631579,1.0,2964
1,2011,118.49477023873311,4.541704568792793,9.625852660300136,1.0,2932
1,2012,119.73786610261948,4.553207093152462,9.72245179063361,1.0,2904
1,2013,119.16655053624588,4.575619319320763,9.541079408731523,1.0,2909
1,2014,124.89147517372855,4.616714029108151,9.786121354341267,1.0,2983
1,2015,125.5872679004349,4.647668030555176,9.860149355057706,1.0,2946
1,2016,142.13325158727847,4.73105857746416,9.89323467230444,1.0,2838
1,2017,136.01931561447225,4.742601268888803,9.838545454545455,1.0,2750
1,2018,145.00213735626298,4.800531710158653,9.92174871418075,1.0,2722
1,2019,151.93536602264612,4.857338374454442,10.185291997116078,1.0,2774
1,2020,172.50096187360066,4.966821081964668,10.497033158813263,1.0,2865
1,2023,210.08012223817957,5.172654117893372,10.654884961653885,1.0,2999
1,2024,234.9856893439832,5.276115033447376,10.820190476190476,1.0,2625
2,2007,145.37122912946046,4.791221583881816,9.241939120631342,1.0,4435
2,2008,159.39278298494958,4.852862082300349,9.314390467461045,1.0,4364
2,2009,149.58607404293696,4.801745208905826,9.318826868495742,1.0,4228
2,2010,152.9002880030189,4.782426455260418,9.299779032654063,1.0,4073
2,2011,148.5641082692511,4.7966914838867885,9.433010191399454,1.0,4023
2,2012,150.27020177455444,4.802006730593958,9.432629658587437,1.0,3837
2,2013,151.4820572962485,4.828759464824989,9.381798002219757,1.0,3604
2,2014,148.65730393019456,4.80586090601036,9.511682934043183,1.0,3381
2,2015,147.52520653253413,4.817594378934751,9.661623108665749,1.0,3635
2,2016,156.76170249037304,4.877505036984285,9.647879305436948,1.0,3513
2,2017,166.55648789484945,4.93785472889188,9.663699023549684,1.0,3482
2,2018,182.45018557356724,5.02149752282727,9.95373665480427,1.0,3372
2,2019,208.73252516064224,5.134490573657519,10.330739299610896,1.0,4369
2,2020,221.88948722397106,5.201986247341344,10.362073083353236,1.0,4187
2,2023,293.7517275795714,5.534354667185307,10.78046953046953,1.0,4004
2,2024,329.8540712700178,5.639868193793344,10.886485042735043,1.0,3744
3,2007,160.1873058882624,4.77909816471768,9.903117359413203,1.0,3272
3,2008,189.36810557552417,4.922099831954299,10.02618135376756,1.0,3132
3,2009,181.05356649125855,4.897559430427579,9.975512905360688,1.0,3022
3,2010,177.14764828694996,4.870958029708648,10.083189506385917,1.0,2897
3,2011,178.87669755961005,4.875765085021356,10.096971759101736,1.0,2939
3,2012,187.34941936399093,4.922726916436452,10.45242984257358,1.0,2922
3,2013,199.57732714273388,4.979369694230051,10.367221418234443,1.0,2764
3,2014,199.87047455751716,4.996452474895064,10.600627833972794,1.0,2867
3,2015,201.5137153429838,5.019570615771578,10.49269819193324,1.0,2876
3,2016,214.6596199702004,5.072369703409404,10.565820642978004,1.0,2955
3,2017,222.35307916735965,5.140110607185881,10.98415432311402,1.0,2903
3,2018,233.25100460480292,5.183840714223004,10.865904365904365,1.0,2886
3,2019,239.48919605957832,5.215523777419603,11.105027548209366,1.0,2904
3,2020,250.35939015796126,5.269652014785203,11.138541666666667,1.0,2880
3,2023,333.01139876773124,5.539812424180512,11.418955629338967,1.0,3313
3,2024,366.39438169899773,5.62530518157236,11.497133220910625,1.0,2965
4,2007,106.49312255688407,4.295921838551336,9.305115554401453,1.0,3851
4,2008,114.97921907647391,4.345276099543566,9.386065573770491,1.0,3660
4,2009,119.44244905961183,4.4193428827758305,9.55677943876213,1.0,3813
4,2010,125.57608128358584,4.439064965906351,9.818967709127893,1.0,3933
4,2011,126.0429296170096,4.489717753424229,9.740010378827192,1.0,3854
4,2012,132.90052379722428,4.519337933996692,9.978807294233613,1.0,4058
4,2013,136.9142846292807,4.588326624551566,9.959466393022062,1.0,3898
4,2014,143.2019112204891,4.617023687515609,10.332147395171537,1.0,3935
4,2015,145.48752888542575,4.659105100436089,10.306646138054914,1.0,3897
4,2016,156.13257702027423,4.727466029066775,10.37877551020408,1.0,3675
4,2017,148.20515434672546,4.708461784722067,10.455006337135615,1.0,3945
4,2018,154.40189934002143,4.73350650079083,10.4286476393705,1.0,3749
4,2019,159.19315950185714,4.783826585828479,10.836471498581377,1.0,3877
4,2020,194.69569685866801,4.918537494166132,10.869913928012519,1.0,5112
4,2023,219.08933641013442,5.092220455614782,10.990588669496217,1.0,5419
4,2024,262.7600059672758,5.273393206656902,11.281227436823105,1.0,5540
5,2007,136.0051214461006,4.582911066575389,9.88363201911589,1.0,4185
5,2008,141.75087344433226,4.630300720889214,9.906017741548789,1.0,4171
5,2009,133.52747471241858,4.5919994099588175,10.004207204838286,1.0,3803
5,2010,136.8704667371554,4.615966721913083,10.124556062912227,1.0,3942
5,2011,134.04996188254555,4.636478294646229,10.083204134366925,1.0,3870
5,2012,134.52078577199666,4.634349916505258,10.06058262438773,1.0,3879
5,2013,151.15272885371576,4.734305173280971,10.286344755970925,1.0,3852
5,2014,152.76826322519193,4.790532182874572,10.387780863418328,1.0,3961
5,2015,156.9831252329748,4.827917252381419,10.391722099039173,1.0,4059
5,2016,171.73637655088393,4.912032613195352,10.59036439227195,1.0,4089
5,2017,176.38746888111842,4.9418110030426154,10.510948905109489,1.0,3973
5,2018,179.9736384347866,4.973697645568335,10.485642219635235,1.0,5154
5,2019,197.64173699653045,5.065363133502621,10.793326790971541,1.0,5095
5,2020,214.86478022666077,5.134662040791425,10.971111502554166,1.0,5677
5,2023,248.4846933377028,5.313740822188196,11.076731025299601,1.0,6008
5,2024,283.91756885750016,5.448474671814484,11.234321653189578,1.0,5565
6,2007,130.34268195284614,4.5867712441727555,9.630727023319617,1.0,3645
6,2008,141.31655569994388,4.644405110057937,9.629050596930075,1.0,3518
6,2009,141.05611459996948,4.671384822039996,9.647009029345373,1.0,3544
6,2010,146.63802245703562,4.720150471453694,9.889513635085747,1.0,3557
6,2011,144.4269860793287,4.709386265602542,9.880862219632974,1.0,3433
6,2012,151.10839766493933,4.752994823720359,10.010206896551724,1.0,3625
6,2013,156.6395842033182,4.7862912231080275,10.000290107339715,1.0,3447
6,2014,165.0521168731401,4.830532377836588,10.275070821529745,1.0,3530
6,2015,161.85159002849835,4.816673649508153,10.08166576527853,1.0,3698
6,2016,174.6936296070605,4.914354844762527,10.253982300884955,1.0,3390
6,2017,169.36181708439798,4.897103274104783,10.279477279477279,1.0,3367
6,2018,182.89852142017196,4.947618866606139,10.435508815341787,1.0,3233
6,2019,191.09574256979707,5.010092871943102,10.167887862376553,1.0,3139
6,2020,207.9917773704131,5.090526633591964,10.59551282051282,1.0,3120
6,2023,250.03392993399922,5.300006948256722,10.94333843797856,1.0,3265
6,2024,289.8203504639915,5.440902785608143,10.922685656154629,1.0,2949
7,2007,98.99376110688685,4.130254428143112,8.751493693294977,1.0,4519
7,2008,103.18974548033287,4.1928880397636235,9.005165057264765,1.0,4453
7,2009,105.01056402229631,4.2220042467141035,9.14372197309417,1.0,4460
7,2010,108.39803483900042,4.259271047229589,9.230753605525086,1.0,4923
7,2011,110.48213325321022,4.2833228589533325,9.2814039408867,1.0,4872
7,2012,114.28238750901421,4.3413740401342515,9.457060280759702,1.0,4844
7,2013,120.69959153011776,4.382147188613883,9.605799537718008,1.0,4759
7,2014,118.57333870419131,4.3816471102588785,9.555437553101104,1.0,4708
7,2015,122.0258889691527,4.40743406130413,9.692225544639044,1.0,4682
7,2016,127.7049443660586,4.4613220601091435,9.74575542660649,1.0,4653
7,2017,125.69787065750552,4.455055734193748,9.640567066521266,1.0,4585
7,2018,132.53602288325254,4.54014090161132,10.128400184416781,1.0,4338
7,2019,144.57484841217206,4.588341052358885,10.292588369441278,1.0,4385
7,2020,155.08261686689673,4.67458567909354,10.507626310772164,1.0,6294
7,2023,187.33121246203729,4.895551093574672,10.77782945736434,1.0,6450
7,2024,205.56320743726124,5.027957579114268,10.982267152800796,1.0,6034
8,2007,135.4964544568469,4.664112644926003,9.589020771513352,1.0,3370
8,2008,159.1212353685715,4.686560524695112,9.635357463356266,1.0,3343
8,2009,141.30328040130854,4.695614292248719,9.7997227997228,1.0,2886
8,2010,143.86541089480374,4.648429930058953,9.81403858948769,1.0,3006
8,2011,130.11733093407375,4.657170208272428,9.678431372549019,1.0,2805
8,2012,144.4107009183222,4.715031786430917,9.744226731980406,1.0,2858
8,2013,149.22843751538895,4.755674037566036,10.098969072164948,1.0,2910
8,2014,145.81764591141402,4.77007811690728,10.216953171310017,1.0,3374
8,2015,153.74625869110457,4.833820317421089,10.09882217753519,1.0,3481
8,2016,171.69531206378844,4.9261209274194355,10.350939286686632,1.0,3673
8,2017,184.1614474549686,5.008170306373697,10.366718426501036,1.0,3864
8,2018,195.06651884520502,5.054547538051729,10.613683279268653,1.0,3391
8,2019,208.3321378505461,5.114390565289556,10.673115277223774,1.0,5014
8,2020,222.23813674802804,5.174172896646495,10.742809153894605,1.0,4763
8,2023,279.90400656248727,5.43919860387945,10.935709739019734,1.0,4713
8,2024,309.46144319726653,5.555390612754783,11.059068950373298,1.0,4554
9,2007,150.7357822381105,4.677964172786906,10.547286317842055,1.0,3077
9,2008,156.37137062187048,4.725256840298506,10.53224119902405,1.0,2869
9,2009,144.64667754112673,4.695168856215401,10.537718984626386,1.0,2797
9,2010,147.49473876046827,4.701768108880566,10.553308823529411,1.0,2720
9,2011,145.31391038862063,4.692352622981246,10.288721207307386,1.0,2518
9,2012,151.30435778834655,4.745508832502823,10.643830284157259,1.0,2569
9,2013,177.59590597574484,4.791627145842106,10.681104033970277,1.0,2355
9,2014,151.61419378136168,4.756891670909027,10.554433713784022,1.0,2278
9,2015,166.18273622985458,4.818012912868561,10.434593023255815,1.0,2064
9,2016,178.50904111416807,4.877263531610911,10.618928392588883,1.0,1997
9,2017,181.74233154394705,4.919235249836449,10.844130540672188,1.0,2053
9,2018,187.2721754810757,4.942640867884816,10.73050397877984,1.0,1885
9,2019,189.00877513236017,4.9613351620914505,10.738095238095237,1.0,1932
9,2020,211.512633169369,5.0618739161805175,11.061597690086622,1.0,2078
9,2023,255.82617806385628,5.217325878910558,11.253410283315844,1.0,1906
9,2024,304.35516755070154,5.37261421518796,11.664314516129032,1.0,1984
10,2007,109.3541958459928,4.402194265123384,9.800932273101179,1.0,3647
10,2008,116.33054855065805,4.468532157141986,9.829145728643216,1.0,3582
10,2009,117.45847594662969,4.492404647227579,10.070005858230815,1.0,3414
10,2010,113.84045764541837,4.484191483290615,10.045714285714286,1.0,3500
10,2011,116.07459541087627,4.502604125942061,9.987087517934002,1.0,3485
10,2012,119.89847263440808,4.525043779256303,10.00084388185654,1.0,3555
10,2013,123.54682719025288,4.542219488151808,9.96116788321168,1.0,3425
10,2014,126.68582976470202,4.577345872197331,10.134697617593158,1.0,3274
10,2015,129.56129627787396,4.6219959802338595,10.268780348471866,1.0,3501
10,2016,143.05125686738495,4.710469429383963,10.225704427832087,1.0,3478
10,2017,148.37746747808453,4.773167680357447,10.410206358059119,1.0,3586
10,2018,150.79752815587503,4.793860646958502,10.434331240946403,1.0,4142
10,2019,168.10074701954088,4.889054745191268,10.683090446449224,1.0,4323
10,2020,181.12153466732454,4.970249828017942,10.853770341508136,1.0,4363
10,2023,216.76927961791208,5.1681554106667305,11.174146845915201,1.0,4835
10,2024,243.30669059587717,5.279835755391115,11.32683461117196,1.0,4565
11,2007,119.50883677583774,4.559130175391727,8.310176125244618,1.0,5110
11,2008,118.52734205521057,4.563275663422647,8.45271749950229,1.0,5023
11,2009,113.60537757021768,4.520414621555407,8.479570345408593,1.0,4748
11,2010,112.88294270802295,4.5202208262079875,8.476704055220017,1.0,4636
11,2011,114.49198921630419,4.536912479203104,8.475801247580124,1.0,4649
11,2012,120.00222548894818,4.571175711413681,8.743789155325125,1.0,4629
11,2013,125.27084315452656,4.628439257023059,8.795794392523364,1.0,4280
11,2014,128.51973411163377,4.642283677919355,8.893786282519889,1.0,4651
11,2015,125.92484921644916,4.630096113567697,8.846836847946726,1.0,4505
11,2016,138.04320706915777,4.720914274655397,9.056465899025687,1.0,4516
11,2017,139.8945661554675,4.760765400184286,9.059882837925798,1.0,4609
11,2018,147.9587983588209,4.8259834969152156,9.246112237998648,1.0,4437
11,2019,165.8251643760473,4.93386651440042,9.306048300919,1.0,4679
11,2020,177.3972684892195,4.9889248098529,9.512556607657473,1.0,4858
11,2023,194.60267048381985,5.122363018652143,9.572628234226055,1.0,4406
11,2024,233.78796592272204,5.267704605473154,9.852480082241069,1.0,3891
12,2007,102.05191182364166,4.31879675337526,9.232669099073814,1.0,3563
12,2008,106.19312852794039,4.329716031646358,9.221095334685598,1.0,3451
12,2009,108.66252020225994,4.368408949483428,9.333646322378717,1.0,3195
12,2010,109.58579203261927,4.369462341322664,9.357164404223228,1.0,3315
12,2011,110.49004374632699,4.395846464598066,9.35854765506808,1.0,3305
12,2012,112.17101476315432,4.388042232139519,9.520668693009119,1.0,3290
12,2013,113.34586538150761,4.40697970191241,9.461411063265983,1.0,3019
12,2014,109.38711371728623,4.4153302105517716,9.513986013986013,1.0,3432
12,2015,112.46994391742172,4.440127146251376,9.55478861087144,1.0,3477
12,2016,119.25030069648844,4.500158278942876,9.43435279579858,1.0,3237
12,2017,127.30387654814008,4.552451483899524,9.641390728476821,1.0,3020
12,2018,124.93279394064477,4.55400329747596,9.558204768583451,1.0,2852
12,2019,126.81643014359736,4.575724839094294,9.645089285714286,1.0,3136
12,2020,139.869955288727,4.674334129881692,9.931165140511526,1.0,3167
12,2023,175.55195153424708,4.852700632117974,9.718950259383583,1.0,3277
12,2024,206.86562604284748,5.014080523652512,10.09642050951306,1.0,3101
13,2007,123.25940486435876,4.46383973188127,10.11123227917121,1.0,3668
13,2008,130.3597480036738,4.508437326405759,10.053540081919252,1.0,3418
13,2009,129.62201296078982,4.5395287263455515,10.270864270864271,1.0,3367
13,2010,130.99248059207605,4.536118031640243,10.146285053483666,1.0,3459
13,2011,132.00070470898797,4.5571988576069895,10.167836257309942,1.0,3420
13,2012,133.40107466615765,4.566572973099526,10.274571428571429,1.0,3500
13,2013,145.27107869089363,4.632707328006344,10.323335332933413,1.0,3334
13,2014,149.88554272452777,4.678989353298412,10.396848989298455,1.0,3364
13,2015,151.77377823930462,4.705739982620526,10.5929203539823,1.0,3503
13,2016,156.70494352164926,4.717816099680488,10.537381751602075,1.0,3277
13,2017,157.72572670112558,4.761325422660267,10.547619047619047,1.0,3024
13,2018,166.15314965582823,4.79763530355265,10.419597132127006,1.0,2929
13,2019,173.9752076062238,4.868562678294724,10.703789126853378,1.0,3035
13,2020,183.02153786636373,4.920788947504027,10.708794788273616,1.0,3070
13,2023,226.91523123608525,5.152368557648955,10.967919340054996,1.0,3273
13,2024,239.79987147950402,5.208712675746842,11.145310889728616,1.0,2911
14,2007,142.96479620192068,4.681596332961902,9.3465495608532,1.0,3985
14,2008,150.96263589076577,4.745486491774714,9.533003708281829,1.0,4045
14,2009,137.36280744395296,4.675538286717724,9.360651431573418,1.0,3807
14,2010,143.7949529783159,4.715445898069891,9.589579055441478,1.0,3896
14,2011,139.7735856296148,4.728949756031388,9.634435748548347,1.0,3961
14,2012,141.80165002737323,4.75096860223113,9.724315469225369,1.0,4273
14,2013,154.31638286656096,4.825285991603606,9.757215619694398,1.0,4123
14,2014,153.08100691775527,4.8221818653001245,10.023568230025925,1.0,4243
14,2015,157.60824581744882,4.836867881428871,10.044455421091628,1.0,4049
14,2016,171.31101210621088,4.916680216090624,9.991822131357015,1.0,3913
14,2017,167.35690901640993,4.931358606018133,10.149172699069286,1.0,3868
14,2018,174.5561268454626,4.988126357914776,10.180240694094598,1.0,3573
14,2019,185.00559679467034,5.050566496643795,10.013104013104012,1.0,3663
14,2020,200.68835448953627,5.110691926594444,10.169645312070388,1.0,3637
14,2023,233.2311440135777,5.294489560118043,10.439490445859873,1.0,4082
14,2024,264.73187208168423,5.4243711154836465,10.566402814423922,1.0,3411
15,2007,109.49316303930306,4.427469711837274,9.366797764438004,1.0,4831
15,2008,121.37088157048613,4.509311168779788,9.418799646954987,1.0,4532
15,2009,112.36106728777911,4.479635329983585,9.353351955307263,1.0,4296
15,2010,113.70225304553716,4.5090143586587,9.421601941747573,1.0,4120
15,2011,120.10333142328756,4.579589005778261,9.598622725036892,1.0,4066
15,2012,122.68541000826036,4.591766749646786,9.535976890756302,1.0,3808
15,2013,133.74423318768444,4.601916092401923,9.355197331851029,1.0,3598
15,2014,119.92985220127574,4.602311124416149,9.32124217118998,1.0,3832
15,2015,126.39183722789072,4.636531957026188,9.368934599156118,1.0,3792
15,2016,134.17555558408287,4.689932029991462,9.544548818673498,1.0,3513
15,2017,132.38325675569257,4.700194387051631,9.46583309101483,1.0,3439
15,2018,134.19107528960868,4.7298080558726605,9.594577553593947,1.0,3172
15,2019,140.568180493657,4.782119334127354,9.676928062216462,1.0,3086
15,2020,152.3632106528216,4.846366942325717,9.967465246968352,1.0,3381
15,2023,195.8403616041062,5.074918741006286,10.510164095028166,1.0,4083
15,2024,214.48840435701834,5.160180466961393,10.655619994476664,1.0,3621
16,2007,125.1461919843065,4.543480795971482,9.562125553529565,1.0,3839
16,2008,131.60494056542433,4.600332195425224,9.611486486486486,1.0,3848
16,2009,136.6054725641469,4.626025903576399,9.501544799176108,1.0,3884
16,2010,135.79072566144063,4.649590791334394,9.693110647181628,1.0,3832
16,2011,135.15491939580187,4.670046895502686,9.8271637816245,1.0,3755
16,2012,143.92397949221026,4.702450935263493,9.95197956577267,1.0,3915
16,2013,143.22587634641252,4.717050685868252,9.750063694267515,1.0,3925
16,2014,145.78302427160196,4.7429457485071005,10.013043478260869,1.0,4140
16,2015,154.19093451648118,4.775930990990512,10.145323741007195,1.0,4170
16,2016,164.74741993941873,4.844991141806599,10.100246913580246,1.0,4050
16,2017,161.95553127194867,4.861596202991638,10.343742376189315,1.0,4099
16,2018,167.72974921594323,4.887630926558381,10.028265851795263,1.0,3927
16,2019,185.1454915117965,4.991651069292974,10.212896874230864,1.0,4063
16,2020,195.3210609204051,5.038193161041213,10.442992569818088,1.0,3903
16,2023,221.54917282719785,5.18323039482977,10.409380155550318,1.0,4243
16,2024,257.36844445620875,5.308681121305774,10.596048869248765,1.0,3847
